Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,Flower Color,flower_color_hex,Latin Name for alignment
Red osier dogwood,Cornus sericea,,Shrub – Large,Native,N,Bright red stems,Shrub,Full Sun to Part Shade,Moist to Wet,Wetland stabilizer,https://static.inaturalist.org/photos/16633753/medium.jpg,,Understory fill,Y,Small to Medium,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,1 - Don't Use,Yes,Yes,Yes,Yes,Shrub,8,,medium,medium,medium,mild,mild,no,tolerant,avoid,avoid,August,September,White drupes; clean pulp; cold stratify,110,Live staking works well — one of the most reliable live stake plants in the northeast. Also divide suckers in early spring or fall; spreads by rhizome.,with caveats,Fruit edible; not palatable,no,,white,Spring,3,5,white,#FFFFFF,Cornus sericea
American Hazelnut,Corylus americana,,Shrub – Large,Native,No,Spring / Summer,Structural,Full Sun–Part Sun,Mesic,Edible nuts for wildlife + people,https://inaturalist-open-data.s3.amazonaws.com/photos/9733349/medium.jpg,,Woody,M,Medium,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Shrub,10,,high,medium,medium,no,no,no,tolerant,marginal,marginal,August,September,Nuts in leafy husks; collect before squirrels do,130,Divide suckers in early spring; spreads by root suckers,yes,Hazelnuts edible,no,,yellow,Early Summer,5,6,yellow,#F9C820,Corylus americana
Beaked Hazelnut,Corylus cornuta,,Shrub – Large,Native,No,Fall Nuts,Midstory,Full Sun–Part Sun,Mesic,Native hazelnut,https://inaturalist-open-data.s3.amazonaws.com/photos/141313270/medium.jpeg,,Woody,Y,Medium,4 - Strong,3 - OK,4 - Strong,4 - Strong,3 - OK,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Shrub,12,green,medium,medium,medium,no,no,no,tolerant,marginal,tolerant,September,October,Edible nuts,130,Suckers,yes,Edible nuts,no,,green,Spring,3,5,green,#5A9E5A,Corylus cornuta
Poverty Oat Grass,Danthonia spicata,,Grass,Native,No,Dry site matrix structure; low texture,Low,Full Sun–Part Sun,Dry,"Compact native grass of poor, dry, rocky, and acidic soils. Very drought tolerant once established. Forms low tufts. Important for dry meadow, rocky outcrops, and acid sandy soils. Largely overlooked but ecologically significant for dry-site matrix plantings.",https://static.inaturalist.org/photos/18564686/medium.jpeg,,Matrix,N,Small,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,1,green,low,low,low,no,no,no,unknown,tolerant,avoid,July,August,Florets often self-cleistogamous; collect when tan and dry; direct sow in fall on bare acid soil,10,Direct seed in fall on bare acid soil; divide small clumps in early spring; slow to establish,no,,no,,green | tan,Late Spring–Early Summer,5,6,green | tan,#5A9E5A,Danthonia spicata
Delphinium (Hybrid),Delphinium elatum,,Flowering Perennial,Safe Non-Native,No,Summer Color,Structural,Full Sun–Part Sun,Mesic,Tall spikes; short lived but dramatic,https://inaturalist-open-data.s3.amazonaws.com/photos/45762201/medium.jpeg,,,,,3 - OK,2 - Marginal,3 - OK,2 - Marginal,2 - Marginal,1 - Don't Use,3 - OK,No,No,No,No,Herbaceous,5,,low,low,low,yes,yes,yes,unknown,avoid,avoid,August,September,Dry follicles; shake seeds out,0,Divide in early spring or fall; short-lived,no,Toxic,no,,blue | purple | white,Summer,6,8,blue | purple | white,#4A7FC1,Delphinium elatum
Eastern Hayscented Fern,Dennstaedtia punctilobula,,Fern,Native,No,Summer,Mid,Part Sun–Shade,Mesic,Can form dense colonies,https://static.inaturalist.org/photos/424205704/medium.jpeg,,Matrix,Y,Large,1 - Poor Fit,1 - Don't Use,3 - OK,3 - OK,4 - Strong,4 - Strong,1 - Poor Fit,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,no,no,no,unknown,tolerant,marginal,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; spreads to form colonies,no,,no,,,N/A,,,,,Dennstaedtia punctilobula
Wavy Hair Grass,Deschampsia flexuosa,,Grass,Native,Partly,Delicate airy seed heads; semi-evergreen foliage,Low,Part Sun–Shade,Dry–Mesic,Delicate acid-loving grass of rocky woodlands and sandy clearings. Fine-textured with airy purple-tinged flower heads in early summer. Tolerates shade and dry acid soils where few other grasses grow. Good companion to blueberries and heaths. Semi-evergreen in mild winters.,https://inaturalist-open-data.s3.amazonaws.com/photos/150447888/medium.jpeg,,Matrix,N,Small,2 - Marginal,4 - Strong,3 - OK,1 - Don't Use,3 - OK,4 - Strong,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,2,green,low,low,low,no,no,no,unknown,tolerant,avoid,July,August,Tiny florets; shake when dry onto paper; direct sow in fall on bare acid soil,8,Direct seed in fall; divide in early spring; self-seeds in suitable acidic conditions,no,,no,,purple | tan,Early Summer,5,6,purple | tan,#7B4EA0,Deschampsia flexuosa
Showy Tick Trefoil,Desmodium canadense,,Flowering Perennial,Native,No,Spring,Tall,Full Sun–Part Sun,Mesic,"Nitrogen-fixer, butterflies",https://inaturalist-open-data.s3.amazonaws.com/photos/4217242/medium.JPG,,Matrix,N,Medium,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,3 - OK,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,4,,medium,medium,low,no,no,no,unknown,avoid,avoid,September,October,Hooked pods cling to clothing; strip when brown,20,"Tip layering works — may not come true; best from cuttings. Pin a low stem to the ground in spring, sever the following year.",no,,no,,pink | purple,Early Spring,2,3,pink | purple,#E8829A,Desmodium canadense
Whorled Tick Trefoil,Desmodium paniculatum,,Flowering Perennial,Native,No,Spring,Tall,Full Sun,Mesic,Dry oak woods tolerant,https://inaturalist-open-data.s3.amazonaws.com/photos/61100600/medium.jpeg,,Matrix,N,Medium,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,3 - OK,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,,medium,medium,low,no,no,no,unknown,avoid,avoid,September,October,Hooked pods cling to clothing; strip when brown,20,"Tip layering works — may not come true; best from cuttings. Pin a low stem to the ground in spring, sever the following year.",no,,no,,pink,Early Spring,2,3,pink,#E8829A,Desmodium paniculatum
Cheddar Pink Dianthus,Dianthus gratianopolitanus,,Flowering Perennial,Safe Non-Native,Partly,Spring / Summer,Low,Full Sun,Dry,"low mound, scented flowers",https://inaturalist-open-data.s3.amazonaws.com/photos/201585407/medium.jpg,,,,,5 - Best Fit,5 - Best Fit,4 - Strong,1 - Don't Use,3 - OK,1 - Don't Use,5 - Best Fit,No,No,No,No,Herbaceous,0.75,blue-gray,low,low,low,mild,mild,no,unknown,avoid,avoid,June,July,Small capsules; collect promptly,0,Divide in early spring; short-lived — refresh every few years,with caveats,Petals edible; mild clove flavor,no,,pink,Late Spring,4,5,pink,#E8829A,Dianthus gratianopolitanus
Dutchman's Breeches,Dicentra cucullaria,,Foliage Perennial,Native,No,Spring,Low,Part Sun–Shade,Mesic,Early feathery ephemeral,https://inaturalist-open-data.s3.amazonaws.com/photos/16316623/medium.jpeg,,Ground,N,Small,1 - Poor Fit,1 - Don't Use,3 - OK,4 - Strong,4 - Strong,4 - Strong,1 - Poor Fit,Yes,Yes,Yes,Yes,Herbaceous,0.75,blue-gray,low,low,low,yes,yes,yes,unknown,marginal,avoid,May,June,Collect pods before they shatter; ants disperse,10,Divide in early spring; very ephemeral — mark location in fall,no,Toxic,no,,white | pink,Early Spring,2,3,white | pink,#FFFFFF,Dicentra cucullaria
Bush Honeysuckle,Diervilla lonicera,,Shrub – Small,Native,Partly,Spring / Summer,Tall,Full Sun–Part Sun,Dry–Mesic,One of the best shrubs for dry shade,https://inaturalist-open-data.s3.amazonaws.com/photos/21142762/medium.jpeg,,Woody,N,Small,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,4 - Strong,4 - Strong,Yes,Yes,Yes,Yes,Shrub,4,,low,low,low,no,no,no,tolerant,tolerant,marginal,August,September,Dry capsules; shake seeds out,15,Divide suckers in early spring or fall; spreads by rhizome,no,,no,,yellow,Late Spring,4,5,yellow,#F9C820,Diervilla lonicera
Foxglove,Digitalis purpurea,,Flowering Perennial,Safe Non-Native,Partly,Summer / Fall,Structural,Full Sun–Part Sun,Mesic,"tall spires, good for partial shade",https://inaturalist-open-data.s3.amazonaws.com/photos/179728943/medium.jpeg,,,,,3 - OK,3 - OK,4 - Strong,4 - Strong,5 - Best Fit,3 - OK,3 - OK,No,No,No,No,Herbaceous,6,,low,low,low,yes,yes,yes,unknown,marginal,marginal,July,August,Dry capsules; shake seeds out,0,Divide in early spring; biennial habit — allow to reseed,no,Toxic,no,,purple | pink | white,Early Summer,5,6,purple | pink | white,#7B4EA0,Digitalis purpurea
Asian persimmon,Diospyros kaki,,Tree,Safe Non-native,No,Fruit,Small Tree,Full Sun,Mesic,Marginal hardy; edible fruit,https://static.inaturalist.org/photos/171386353/medium.jpeg,,Anchor,N,Small,3 - OK,3 - OK,3 - OK,3 - OK,2 - Marginal,2 - Marginal,2 - Marginal,No,No,No,No,Tree,20,green,low,low,low,no,no,no,unknown,tolerant,marginal,October,November,Late fruiting,15,Needs protection,yes,Fruit edible,no,,cream,Spring,3,5,cream,#FFF8DC,Diospyros kaki
American Persimmon,Diospyros virginiana,,Canopy Tree,Native,No,Fall Fruit,Canopy,Full Sun,Mesic,Edible fruit tree,https://static.inaturalist.org/photos/92868365/medium.jpeg,,Woody,N,Large,4 - Strong,3 - OK,4 - Strong,4 - Strong,3 - OK,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Tree,40,orange,medium,medium,medium,no,no,no,tolerant,marginal,tolerant,October,November,Fruit edible when soft,15,Seed or grafting,yes,Fruit edible when fully ripe,no,,green,Late Spring,4,5,green,#5A9E5A,Diospyros virginiana
Crested Wood Fern,Dryopteris cristata,,Fern,Native,Partly,Foliage interest; wetland edge fern,Mid,Part Sun–Shade,Moist–Wet,"Semi-evergreen fern of wetland edges, swamps, and moist woodland depressions. Fronds have a distinctive twisted orientation at right angles to the rachis. One of the few ferns truly adapted to standing water conditions. Excellent for wet woodland margins and bog gardens.",https://static.inaturalist.org/photos/44887980/medium.jpg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,2 - Marginal,5 - Best Fit,4 - Strong,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,2.5,green,low,low,low,no,no,no,unknown,marginal,avoid,July,August,Fern — produces spores; spores ripen midsummer on underside of fertile fronds,2,Divide in early spring as fronds emerge; transplant with full root mass; thrives in wet to seasonally flooded soil,no,,no,,,Spring–Fall,3,10,,,Dryopteris cristata
Autumn Fern,Dryopteris erythrosora,,Fern,Safe Non-Native,Partly,Spring / Summer / Fall,Mid,Part Sun–Shade,Mesic,"coppery new fronds, long season structure",https://inaturalist-open-data.s3.amazonaws.com/photos/133824012/medium.jpg,,,,,4 - Strong,2 - Marginal,3 - OK,4 - Strong,5 - Best Fit,5 - Best Fit,3 - OK,No,No,No,No,Herbaceous,2,bronze,low,low,low,no,no,no,unknown,marginal,marginal,June,July,"Fern — produces spores, not seeds",5,"Ground layering works well — pin a low branch to moist soil in spring, sever the following year once rooted.",no,,no,,,n/a,,,,,Dryopteris erythrosora
Male Fern,Dryopteris filix-mas,,Fern,Native,No,Evergreen texture,Medium,Part Shade–Shade,Mesic,Clumping woodland fern with durable fronds; reliable structure,https://inaturalist-open-data.s3.amazonaws.com/photos/114518292/medium.jpg,,Understory fill,N,Medium,3 - OK,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Herbaceous,3,dark green,low,low,low,no,no,no,unknown,tolerant,marginal,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; easy and reliable,no,Toxic,no,,,Spring–Fall,3,10,,,Dryopteris filix-mas
Marginal Wood Fern,Dryopteris marginalis,,Fern,Native,Yes,Evergreen fronds,Medium,Shade,Dry–Mesic,Semi-evergreen fern; strong performer in dry shade,https://inaturalist-open-data.s3.amazonaws.com/photos/177337555/medium.jpg,,Evergreen structure,N,Medium,Semi-evergreen woodland fern,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,3,blue-green,low,low,low,no,no,no,tolerant,tolerant,marginal,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; easy and reliable,no,,no,,,None,,,,,Dryopteris marginalis
Purple Coneflower,Echinacea purpurea,,Flowering Perennial,Native,No,Summer Color,Tall,Full Sun,Dry–Mesic,Classic pollinator perennial; thrives in sun and average soils,https://inaturalist-open-data.s3.amazonaws.com/photos/433818/medium.jpg,,,,,5 - Best Fit,3 - OK,4 - Strong,3 - OK,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,,medium,medium,low,no,no,no,unknown,avoid,avoid,September,October,Seed heads dry and spiky; shake or strip,10,"Tip layering works well — pin a low arching stem to the ground in spring, sever and transplant the following year once rooted. Also divide suckers in early spring or fall.",no,,yes,Well-known immune support herb; roots and flowers used,purple | pink,Summer,6,8,purple | pink,#7B4EA0,Echinacea purpurea
Wild Cucumber,Echinocystis lobata,,Vine,Native,No,Summer / Fall,Structural,Full Sun–Part Sun,Mesic–Moist,Fast-growing annual vine. Masses of small white flowers followed by spiny gourds. Useful for temporary screening on disturbed sites. Self-seeds prolifically.,https://inaturalist-open-data.s3.amazonaws.com/photos/4666634/medium.jpg,,Matrix,Y,Large,2 - Marginal,2 - Marginal,3 - OK,4 - Strong,5 - Best Fit,2 - Marginal,2 - Marginal,Yes,Yes,Yes,Yes,Vine,20,,low,low,low,no,no,no,unknown,marginal,avoid,August,September,Spiny gourds; collect when dry and papery; cold stratify large seeds,20,Annual — grow from fresh seed each year; self-seeds readily,no,Toxic,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Echinocystis lobata
Globe Thistle,Echinops ritro,,Flowering Perennial,Safe Non-Native,No,Summer Interest,Tall,Full Sun,Dry,Architectural blue spheres; drought tolerant,https://inaturalist-open-data.s3.amazonaws.com/photos/30296828/medium.jpg,,,,,5 - Best Fit,4 - Strong,4 - Strong,2 - Marginal,2 - Marginal,1 - Don't Use,4 - Strong,No,No,No,No,Herbaceous,4,silver,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Dry spiky heads; shake into bag,0,Divide in early spring or fall,no,,no,,blue,Summer,6,8,blue,#4A7FC1,Echinops ritro
Canada Wild Rye,Elymus canadensis,,Grass,Native,No,Nodding bearded seed heads; vertical interest,Tall,Full Sun–Part Sun,Mesic,"Tall cool-season native grass with gracefully nodding bearded seed heads. Short-lived perennial but self-seeds reliably. Excellent for meadows, roadsides, and prairie-style plantings. Provides quick structure in new plantings while slower species establish.",https://inaturalist-open-data.s3.amazonaws.com/photos/218287456/medium.jpeg,,Matrix,N,Medium,2 - Marginal,3 - OK,4 - Strong,3 - OK,4 - Strong,2 - Marginal,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,5,blue-green,low,low,low,no,no,no,unknown,marginal,avoid,August,September,Awned seeds on nodding spike; collect when golden; direct sow in fall or cold stratify,25,Direct sow in fall; easy to establish; self-seeds to fill gaps in new plantings,no,,no,,green | tan,Late Spring–Summer,5,7,green | tan,#5A9E5A,Elymus canadensis
Bottlebrush Grass,Elymus hystrix,,Grass,Native,No,Distinctive bottlebrush seed heads; shade-adapted grass,Mid,Part Sun–Shade,Mesic,One of the only native grasses well-adapted to full shade. Distinctive bottlebrush-like seed heads in early summer. Excellent for woodland edges and shaded areas where few other grasses perform. Cool-season grass; goes summer-dormant in heat.,https://inaturalist-open-data.s3.amazonaws.com/photos/324024420/medium.jpg,,Matrix,N,Small,1 - Don't Use,1 - Don't Use,3 - OK,3 - OK,5 - Best Fit,4 - Strong,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,3,green,low,low,low,no,no,no,tolerant,tolerant,marginal,August,September,Awned seeds; collect when golden before birds take them; direct sow in fall,15,Direct sow in fall; self-seeds in suitable shady conditions; divide in early spring,no,,no,,green | tan,Early Summer,5,6,green | tan,#5A9E5A,Elymus hystrix
Trailing Arbutus,Epigaea repens,,Groundcover,Native,Yes,Spring Fragrance,Low,Part Sun–Shade,Mesic,Low evergreen groundcover; sensitive to disturbance,https://inaturalist-open-data.s3.amazonaws.com/photos/7349618/medium.jpg,,Ground,N,Small,2 - Marginal,2 - Marginal,3 - OK,2 - Marginal,5 - Best Fit,4 - Strong,1 - Poor Fit,Yes,Yes,Yes,Yes,Herbaceous,0.25,,low,low,low,no,no,no,unknown,tolerant,avoid,May,June,Dry capsules; collect promptly,10,Division very difficult; best from cuttings or purchased plants,no,Protected species,no,,pink | white,Spring,3,5,pink | white,#E8829A,Epigaea repens
Barrenwort,Epimedium x rubrum,,Flowering Perennial,Safe Non-Native,Partly,Spring,Low,Part Sun–Shade,Mesic,"tough under trees, good dry shade cover",https://inaturalist-open-data.s3.amazonaws.com/photos/34456107/medium.jpeg,,,,,3 - OK,4 - Strong,4 - Strong,3 - OK,5 - Best Fit,5 - Best Fit,3 - OK,No,No,No,No,Herbaceous,1,,low,low,low,no,no,no,tolerant,tolerant,tolerant,May,June,Hybrid — seeds not reliably true,0,Divide in early spring or fall; spreads slowly,no,,no,,red | yellow,Early Spring,2,3,red | yellow,#C0392B,Epimedium x rubrum
Purple Love Grass,Eragrostis spectabilis,,Grass,Native,No,Summer / Fall,Mid,Full Sun,Dry,"Low airy grass, thrives in hot dry soil",https://inaturalist-open-data.s3.amazonaws.com/photos/219308535/medium.jpeg,,,,,5 - Best Fit,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Tiny seeds in open panicle; shake over bag,10,Divide clumps in early spring or fall,no,,no,,,Mid/Late Summer,6,9,,,Eragrostis spectabilis
Bitter fleabane,Erigeron acris,,Perennial,Native,No,Flowers,Medium,Full Sun,Dry,Northern species; rare in MA,https://inaturalist-open-data.s3.amazonaws.com/photos/165917842/medium.jpeg,,Ground layer,N,Small,2 - Marginal,5 - Best Fit,2 - Marginal,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,No,No,Yes,No,Herbaceous,2,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,July,August,Rare occurrence; not typical planting,20,Seed only; limited use,no,,no,,pink | white,Summer,6,8,pink | white,#E8829A,Erigeron acris
Annual fleabane,Erigeron annuus,,Perennial,Native,No,Flowers,Medium,Full Sun–Part Shade,Mesic,Early successional,https://inaturalist-open-data.s3.amazonaws.com/photos/101791693/medium.jpg,,Ground layer,Y,Small,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,June,August,Short-lived perennial,20,Self seeds readily,no,,no,,white,Spring–Summer,3,7,white,#FFFFFF,Erigeron annuus
Canada fleabane,Erigeron canadensis,,Perennial,Native,No,Flowers,Tall,Full Sun,Dry,Disturbance species; often weedy,https://inaturalist-open-data.s3.amazonaws.com/photos/220777535/medium.jpg,,Ground layer,Y,Small,3 - OK,5 - Best Fit,3 - OK,2 - Marginal,2 - Marginal,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,5,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,July,October,Wind-dispersed seed; prolific,20,Often self-establishes,no,,no,,white,Summer,6,8,white,#FFFFFF,Erigeron canadensis
"Hyssop-leaved fleabane, Hyssop fleabane",Erigeron hyssopifolius,,Perennial,Native,No,Flowers,Low,Full Sun,Dry–Mesic,Specialized habitat species; less general use,https://inaturalist-open-data.s3.amazonaws.com/photos/958470/medium.jpg,,Ground layer,N,Small,3 - OK,5 - Best Fit,3 - OK,2 - Marginal,2 - Marginal,1 - Don't Use,5 - Best Fit,Yes,No,Yes,No,Herbaceous,1,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,July,August,Rare in many areas; niche habitat,20,Seed propagation; specific conditions,no,,no,,white,Summer,6,8,white,#FFFFFF,Erigeron hyssopifolius
Philadelphia fleabane,Erigeron philadelphicus,,Perennial,Native,No,Flowers,Low,Full Sun–Part Shade,Mesic,Common meadow and roadside species,https://inaturalist-open-data.s3.amazonaws.com/photos/13932511/medium.jpg,,Ground layer,N,Small,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,2,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,May,June,Early bloom; good for pollinators,20,Short-lived perennial,no,,no,,pink | white,Spring,3,5,pink | white,#E8829A,Erigeron philadelphicus
Robin's plantain,Erigeron pulchellus,,Perennial,Native,No,Flowers,Low,Part Shade,Mesic,Woodland edge species; more refined,https://inaturalist-open-data.s3.amazonaws.com/photos/193396051/medium.jpg,,Ground layer,N,Small,3 - OK,2 - Marginal,4 - Strong,3 - OK,4 - Strong,3 - OK,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,1,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,May,June,Spreads slowly; not aggressive,20,Division or seed,no,,no,,white,Spring,3,5,white,#FFFFFF,Erigeron pulchellus
Rough fleabane,Erigeron strigosus,,Perennial,Native,No,Flowers,Medium,Full Sun–Part Shade,Dry–Mesic,Pioneer species; tolerant of disturbance,https://inaturalist-open-data.s3.amazonaws.com/photos/331075486/medium.jpeg,,Ground layer,N,Small,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,3 - OK,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,3,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,July,September,Disturbance-adapted; self-seeds readily,20,Direct sow or division,no,,no,,white,Summer,6,8,white,#FFFFFF,Erigeron strigosus
Hearts-a-Bustin' / Strawberry Bush,Euonymus americanus,,Shrub – Small,Near-Native,No,Fall fruit,Mid,Part Sun–Shade,Mesic,Dramatic hot-pink warty fruit capsules split open in fall to reveal orange-red seeds — one of the most visually striking fall displays of any native shrub. Shade tolerant understory shrub.,https://inaturalist-open-data.s3.amazonaws.com/photos/174420173/medium.jpg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Shrub,6,,medium,low,low,no,no,no,unknown,marginal,tolerant,September,October,Striking pink capsules split to reveal orange-red seeds; collect fresh; cold stratify,10,"Divide suckers in early spring; tip layering works — pin stem to ground in spring, sever following year",no,Mildly toxic,no,,yellow | green,Late Spring,4,5,yellow | green,#F9C820,Euonymus americanus
Hyssop-leaved Thoroughwort,Eupatorium hyssopifolium,,Flowering Perennial,Native,No,Late-season pollinator white flowers; dry site,Mid,Full Sun,Dry,Drought-tolerant thoroughwort of dry open fields and sandy soils. Whorled narrow leaves. White flat-topped flower clusters attract many late-season pollinators. Well-suited to dry meadow and sandy barrens plantings where other Eupatoriums would struggle.,https://static.inaturalist.org/photos/11115133/medium.jpg,,Matrix,N,Medium,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,3,green,low,low,low,no,no,no,unknown,marginal,avoid,October,November,Fluffy achenes; collect before wind dispersal; surface sow; cold stratify or direct sow in fall,30,Direct sow in fall; divide in early spring; stem cuttings in early summer,no,,no,,white,Late Summer–Fall,8,10,white,#FFFFFF,Eupatorium hyssopifolium
Boneset,Eupatorium perfoliatum,,Flowering Perennial,Native,No,Summer / Fall,Tall,Full Sun–Part Sun,Moist,Moist meadows + edges,https://inaturalist-open-data.s3.amazonaws.com/photos/158562297/medium.jpeg,,Anchor,N,Medium,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,3 - OK,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,mild,mild,mild,unknown,avoid,avoid,September,October,Fluffy achenes; collect before dispersal,20,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. Also divide suckers in early spring; spreads by root suckers.",no,,yes,Traditional medicinal herb; used for fevers and colds,white,Mid/Late Summer,6,9,white,#FFFFFF,Eupatorium perfoliatum
Flowering Spurge,Euphorbia corollata,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun,Dry,Delicate white flowers on airy branching stems. Extremely drought and heat tolerant — one of the best natives for very dry lean soils. Milky sap can cause skin irritation.,https://inaturalist-open-data.s3.amazonaws.com/photos/456569555/medium.jpg,,Matrix,N,Small,5 - Best Fit,5 - Best Fit,4 - Strong,1 - Don't Use,2 - Marginal,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,mild,mild,mild,unknown,avoid,avoid,August,September,3-parted dry capsules eject seeds; collect before splitting,20,Best from seed; taproot resents division — do not transplant once established,no,Toxic sap,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Euphorbia corollata
White Wood Aster,Eurybia divaricata,,Flowering Perennial,Native,No,Summer / Fall,Mid,Part Sun–Shade,Mesic,Dry shade tolerant,https://inaturalist-open-data.s3.amazonaws.com/photos/228478405/medium.jpeg,,Matrix,N,Small,3 - OK,2 - Marginal,4 - Strong,3 - OK,4 - Strong,4 - Strong,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,unknown,tolerant,marginal,October,November,Fluffy achenes; collect before dispersal,20,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. Also divide suckers in early spring or fall.",no,,no,,white,Fall,9,10,white,#FFFFFF,Eurybia divaricata
Bigleaf Aster,Eurybia macrophylla,,Flowering Perennial,Native,Partly,Summer / Fall,Mid,Part Sun–Shade,Mesic,"Large leaves, dry woods tolerant",https://inaturalist-open-data.s3.amazonaws.com/photos/324347843/medium.jpg,,Matrix,M,Medium,2 - Marginal,1 - Don't Use,3 - OK,4 - Strong,4 - Strong,5 - Best Fit,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,no,no,no,unknown,tolerant,marginal,September,October,Fluffy achenes; collect before dispersal,20,Divide in early spring or fall; spreads slowly,no,,no,,lavender | blue,Mid/Late Summer,6,9,lavender | blue,#9B89C4,Eurybia macrophylla
Grass-leaved Goldenrod,Euthamia graminifolia,,Flowering Perennial,Native,No,Spring / Summer,Tall,Full Sun–Part Sun,Dry–Mesic,Meadow pollinator star,https://inaturalist-open-data.s3.amazonaws.com/photos/150464520/medium.jpg,,Matrix,M,Medium,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,3 - OK,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Fluffy achenes like goldenrod,15,"Ground layering works well — pin a low branch to moist acidic soil in spring, sever the following year. Division not practical; layering is the easiest home propagation method.",no,,no,,yellow,Early Summer,5,6,yellow,#F9C820,Euthamia graminifolia
